"iso","scope","gender","quintile","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__pop","access_water_piped_plot__pop","water_trucked__pop","water_on_premises__pop","water_distr__pop","consume_distr__pop","consume_other_max__pop","consume_other_min__pop","consume_bottled__pop","water_dist_daily__pop","water_dist_continuity_jmp__pop","improved_w_access_min__pop","improved_w_access_max__pop","access_water_piped_house_daily__pop","access_water_piped_plot_daily__pop","treat_water__pop","water_meter__pop","access_san_exclusive__pop","access_sewer__pop","access_septic__pop","access_latrine_min__pop","access_latrine_max__pop","access_sewer_exclusive__pop","access_septic_exclusive__pop","access_latrine_exclusive_min__pop","access_latrine_exclusive_max__pop","improved_san_min__pop","improved_san_max__pop","improved_san_min_exclusive__pop","improved_san_max_exclusive__pop","access_latrines_unimproved_min__pop","access_latrines_unimproved_max__pop","access_latrines_unimproved_exclusive_min__pop","no_sanitation_access__pop","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh"
"ARG","urban","all","1",44494502,2018,NA,932.834684804356,2400,6133.89714333889,51000,0.767138395693046,0.0442759452260709,NA,0.811414340919116,0.811414340919116,0.811414340919116,0.18695680104227,0.185342603037092,NA,NA,NA,0.996756943956209,0.998371141961386,NA,NA,NA,NA,0.952788159483743,0.541245984628508,0.280455305641088,0,0.153382680224307,0.530658524035611,0.275001928747105,0,0.143605060099138,0.821701290269595,0.975083970493902,0.805660452782715,0.949265512881853,0.0249160295060976,0.178298709730405,0.050734487118147,0.0193651653340683,0.788774289553895,0.0386948778223861,NA,0.827469167376281,0.827469167376281,0.827469167376281,0.170839223895218,0.169674876815519,NA,NA,NA,0.9971440441918,0.9983083912715,NA,NA,NA,NA,0.959809153857027,0.583526002706359,0.265653337738228,0,0.133974981318312,0.572214153150249,0.260109834531571,0,0.12428701881104,0.849179340444587,0.983154321762899,0.832323987681821,0.956611006492861,0.0168456782371008,0.150820659555413,0.0433889935071392,0.0117857221558641
"ARG","urban","all","2",44494502,2018,NA,3613.31739040106,4871.42857142857,21719.8551543418,69500,0.817185461015584,0.040448742588945,NA,0.857634203604529,0.857634203604529,0.857634203604529,0.141108561020292,0.138715379647699,NA,NA,NA,0.996349583252228,0.998742764624822,NA,NA,NA,NA,0.957376375836851,0.551437482915133,0.285599872948323,0,0.154422916243571,0.533417366868043,0.276924555336697,0,0.143339519606927,0.837037355863456,0.991460272107027,0.81034192220474,0.953681441811667,0.00853972789297302,0.162962644136544,0.046318558188333,0.00452298349382274,0.822974926341166,0.0399025443856854,NA,0.862877470726851,0.862877470726851,0.862877470726851,0.135654280204064,0.132718498809399,NA,NA,NA,0.995595969536251,0.998531750930915,NA,NA,NA,NA,0.952428479301433,0.562936619984565,0.279885292369531,0,0.147585550952669,0.541849667708752,0.270419798462478,0,0.136665426103118,0.842821912354096,0.990407463306764,0.81226946617123,0.948934892274347,0.00959253669323575,0.157178087645904,0.0510651077256528,0.00582318260277161
"ARG","urban","all","3",44494502,2018,NA,6242.00623067014,7916.66666666667,31112.5744684146,84900,0.83830628856795,0.0237290608342903,NA,0.862035349402241,0.862035349402241,0.862035349402241,0.133097155244192,0.13144537481754,NA,NA,NA,0.993480724219781,0.995132504646433,NA,NA,NA,NA,0.963891462895316,0.589441423303791,0.282827997508248,0,0.120555795678014,0.570800081222856,0.274754944281843,0,0.117150538370035,0.872269420812039,0.992825216490053,0.845555025504699,0.962705563874733,0.00717478350994716,0.127730579187961,0.0372944361252669,0.00713549837516515,0.838042840654224,0.0230138529606005,NA,0.861056693614824,0.861056693614824,0.861056693614824,0.134676226149519,0.133047762416655,NA,NA,NA,0.994104456031479,0.995732919764343,NA,NA,NA,NA,0.964553097879468,0.596117881495714,0.268699024283442,0,0.127875701400418,0.577277045236856,0.261056586113642,0,0.124870864205582,0.864816905779156,0.992692607179574,0.838333631350498,0.96320449555608,0.00730739282042608,0.135183094220844,0.0367955044439197,0.00605142068186566
"ARG","urban","all","4",44494502,2018,NA,10034.9719504996,13000,40955.1164443409,105600,0.902825852286321,0.00703797153634272,NA,0.909863823822664,0.909863823822664,0.909863823822664,0.0900400113199775,0.0882750881023024,NA,NA,NA,0.998138911924966,0.999903835142641,NA,NA,NA,NA,0.991233653075868,0.706693608033389,0.21961539137464,0,0.0726185680290678,0.702690868967943,0.217498157445044,0,0.0708534892887124,0.926308999408029,0.998927567437097,0.920189026412987,0.991042515701699,0.00107243256290335,0.0736910005919712,0.00895748429830059,0.000785907944777629,0.902697328258705,0.0088606508513668,NA,0.911557979110072,0.911557979110072,0.911557979110072,0.0882716203123939,0.0866287150595945,NA,NA,NA,0.998186694169666,0.999829599422466,NA,NA,NA,NA,0.987610928357039,0.713530110462936,0.210379491582731,0,0.0748363142086309,0.707254853863139,0.207561521148575,0,0.0724553648140188,0.923909602045667,0.998745916254298,0.914816375011714,0.987271739825733,0.00125408374570213,0.076090397954333,0.0127282601742673,0.000832472222107746
"ARG","urban","all","5",44494502,2018,NA,22430.6257849612,1540000,70451.1463206401,3080000,0.929807600369713,0.00291640069472915,NA,0.932724001064442,0.932724001064442,0.932724001064442,0.0672695349694805,0.0663486438023173,NA,NA,NA,0.99907264486676,0.999993536033923,NA,NA,NA,NA,0.994694811841627,0.811121631233679,0.157149383280037,0,0.0307324467161196,0.807599921715611,0.156755209348661,0,0.0295080691416531,0.968271014513716,0.999003461229836,0.964355131064272,0.993863200205925,0.000996538770164534,0.0317289854862842,0.00613679979407468,0.000158463168385292,0.934140298394073,0.00344180942886282,NA,0.937582107822936,0.937582107822936,0.937582107822936,0.0623997953082882,0.0612611259907588,NA,NA,NA,0.998843233813695,0.999981903131224,NA,NA,NA,NA,0.99170339196241,0.821080379482379,0.147383049433478,0,0.03061040559204,0.815297444435446,0.146538588616245,0,0.0293473874930211,0.968463428915858,0.999073834507898,0.961836033051691,0.991183420544712,0.00092616549210224,0.0315365710841422,0.00881657945528783,0.000388097205628449
"ARG","urban","all","total",44494502,2018,0.9187,7258.38961262345,1540000,30181.348192912,3080000,0.840458310726532,0.0268913341011196,NA,0.867349644827652,0.867349644827652,0.867349644827652,0.13091813804415,0.12916985612045,NA,NA,NA,0.996519500948102,0.998267782871802,NA,NA,NA,NA,0.96865396186949,0.619591824010962,0.254796760632289,0,0.115949547863238,0.607534185402175,0.249248525795975,0,0.10973973392926,0.874388584643251,0.990338132506489,0.85678271119815,0.96652244512741,0.00966186749351065,0.125611415356749,0.0334775548725902,0.00721207473955703,0.857324467854277,0.0227829705771655,NA,0.880107438431442,0.880107438431442,0.880107438431442,0.118369439690462,0.116667430544922,NA,NA,NA,0.996774868976365,0.998476878121904,NA,NA,NA,NA,0.971220829988902,0.655436820167017,0.234400659388788,0,0.10297714353227,0.642777285029519,0.22913789058442,0,0.0975257403978084,0.889837479555805,0.992814623088075,0.871915175613939,0.969440916011747,0.00718537691192486,0.110162520444195,0.0305590839882529,0.00497634133468034
"ARG","urban","female","1",44494502,2018,NA,1039.60480157976,2400,6663.25240682709,35060,0.772664507135222,0.0499963956707657,NA,0.822660902805988,0.822660902805988,0.822660902805988,0.176508651739911,0.175437451090352,NA,NA,NA,0.99809835389634,0.999169554545899,NA,NA,NA,NA,0.959463843778673,0.545001875151034,0.283655111783697,0,0.156302612083891,0.538053468249559,0.277000650179002,0,0.140917375276461,0.828656986934731,0.984959599018623,0.81505411842856,0.955971493705022,0.0150404009813774,0.171343013065269,0.0440285062949785,0.0107655965224872,0.798403991634492,0.0401140082812431,NA,0.838517999915735,0.838517999915735,0.838517999915735,0.160686864485407,0.159279465511105,NA,NA,NA,0.997797465426841,0.999204864401143,NA,NA,NA,NA,0.959081891795223,0.594716158105587,0.257130896172502,0,0.135677295068815,0.58503961783291,0.250442165314697,0,0.120330819437883,0.851847054278089,0.987524349346904,0.835481783147607,0.955812602585491,0.0124756506530959,0.148152945721911,0.0441873974145095,0.00846501179256911
"ARG","urban","female","2",44494502,2018,NA,3545.21365655196,4866.66666666667,21746.6382988353,69500,0.810144318726844,0.0440670239427523,NA,0.854211342669596,0.854211342669596,0.854211342669596,0.142973219437742,0.141073659324099,NA,NA,NA,0.995285001993695,0.997184562107338,NA,NA,NA,NA,0.950486841872032,0.545423201101256,0.278317393813161,0,0.167567256870331,0.5250760693114,0.266321752579112,0,0.155317606691931,0.823740594914417,0.991307851784748,0.791397821890511,0.946715428582443,0.00869214821525158,0.176259405085583,0.0532845714175575,0.00429096139459859,0.821802132421305,0.0465478313407107,NA,0.868349963762015,0.868349963762015,0.868349963762015,0.128730326951457,0.125665062836192,NA,NA,NA,0.994015026598207,0.997080290713473,NA,NA,NA,NA,0.941957212909249,0.559369360019534,0.273719300527227,0,0.156461105639647,0.53387099621945,0.260885929369735,0,0.143186763640059,0.833088660546761,0.989549766186408,0.794756925589185,0.937943689229244,0.0104502338135925,0.166911339453239,0.0620563107707559,0.00597205433415341
"ARG","urban","female","3",44494502,2018,NA,6264.2865148694,7900,30843.3054178559,83500,0.82659705874884,0.0352280780098042,NA,0.861825136758644,0.861825136758644,0.861825136758644,0.128030143679827,0.127105402739054,NA,NA,NA,0.988930539497698,0.989855280438471,NA,NA,NA,NA,0.9463314856083,0.605342247580461,0.271059297934761,0,0.115140309074296,0.576530817590777,0.261625622702821,0,0.106110189830629,0.876401545515222,0.991541854589518,0.838156440293598,0.944266630124227,0.00845814541048196,0.123598454484778,0.0557333698757733,0.00546543457314102,0.833284890714434,0.0300622454921361,NA,0.86334713620657,0.86334713620657,0.86334713620657,0.130597700088473,0.129657978744819,NA,NA,NA,0.993005114951389,0.993944836295043,NA,NA,NA,NA,0.950099520123489,0.617592820803879,0.255615988813683,0,0.118714201968407,0.590997823027984,0.246079830162797,0,0.111219997898638,0.873208809617562,0.991923011585969,0.837077653190781,0.948297651089419,0.00807698841403121,0.126791190382438,0.0517023489105811,0.00510758680148117
"ARG","urban","female","4",44494502,2018,NA,9934.07204490341,13000,37745.1181118403,105600,0.893001490513903,0.00745848881785723,NA,0.90045997933176,0.90045997933176,0.90045997933176,0.0992427400134335,0.094183871702351,NA,NA,NA,0.994643851034111,0.999702719345193,NA,NA,NA,NA,0.986535718484428,0.694401570588946,0.226814123133055,0,0.0785588794097795,0.688285613046806,0.22411837294746,0,0.0740187724183403,0.921215693722002,0.999774573131781,0.912403985994267,0.986422758412607,0.000225426868219004,0.0787843062779985,0.0135772415873932,0.000112466796398103,0.897009630885009,0.00890171350197892,NA,0.905911344386988,0.905911344386988,0.905911344386988,0.0936270512416596,0.0898632394925007,NA,NA,NA,0.995774583879489,0.999538395628647,NA,NA,NA,NA,0.983492026856796,0.713992688881207,0.206351962099422,0,0.0792085527528522,0.705450965513966,0.202864908723352,0,0.074932584826186,0.920344650980628,0.999553203733481,0.908315874237319,0.983248459063505,0.000446796266519335,0.0796553490193716,0.0167515409364952,0.000203228473228223
"ARG","urban","female","5",44494502,2018,NA,20751.5960696233,327500,56491.7742642657,368000,0.948523587750342,0.00449493600583954,NA,0.953018523756182,0.953018523756182,0.953018523756182,0.0469593832691434,0.0466632061631087,NA,NA,NA,0.999681729919291,0.999977907025325,NA,NA,NA,NA,0.991941095317186,0.849164918368646,0.125358381954283,0,0.0252341144402964,0.841742553847251,0.124743934767539,0,0.0252341144402964,0.974523300322929,0.999757414763226,0.96648648861479,0.991720603055087,0.000242585236774347,0.0254766996770707,0.00827939694491346,0,0.953735581814753,0.00342954910959993,NA,0.957165130924353,0.957165130924353,0.957165130924353,0.042783254642616,0.0423376330029839,NA,NA,NA,0.999502763927337,0.999948385566969,NA,NA,NA,NA,0.988579412382456,0.855780075500162,0.118637051906233,0,0.0253595507397984,0.845398931019099,0.117649223202783,0,0.0253595507397984,0.974417127406395,0.999776678146194,0.963048154221882,0.98840770496168,0.000223321853806462,0.0255828725936048,0.0115922950383199,0
"ARG","urban","female","total",44494502,2018,0.330526887857233,6379.78850325965,327500,26207.4098048138,368000,0.832273895637155,0.0337768949971332,NA,0.866050790634288,0.866050790634288,0.866050790634288,0.130807659202976,0.129019826552344,NA,NA,NA,0.995070617186632,0.996858449837265,NA,NA,NA,NA,0.961904648908889,0.614115727819654,0.253217100621396,0,0.124678527475346,0.598912885699645,0.245735900605652,0,0.114851121719697,0.86733282844105,0.992011355916395,0.844648786305297,0.959499908024994,0.00798864408360463,0.13266717155895,0.0405000919750065,0.00501794860314051,0.857654876021792,0.0269354404055213,NA,0.884590316427314,0.884590316427314,0.884590316427314,0.113325761839882,0.111382437238421,NA,NA,NA,0.995972753665735,0.997916078267196,NA,NA,NA,NA,0.96360009758983,0.66220258875777,0.225240316860433,0,0.105906669206363,0.645828782012858,0.218300035039813,0,0.0974630356624576,0.887442905618202,0.993349574824565,0.864128817052671,0.961591852715129,0.00665042517543466,0.112557094381798,0.0384081472848714,0.00414604472283374
"ARG","urban","male","1",44494502,2018,NA,864.877547191844,2400,5796.9726407419,51000,0.763621131433346,0.0406349879075225,NA,0.804256119340868,0.804256119340868,0.804256119340868,0.193606848278146,0.191647042839602,NA,NA,NA,0.99590316218047,0.997862967619015,NA,NA,NA,NA,0.94853921408601,0.538855432133058,0.278418690219714,0,0.151524199432174,0.525951783453494,0.273729780776318,0,0.145315720093431,0.817274122352772,0.968798321784946,0.799681564229812,0.944997284323243,0.0312016782150542,0.182725877647228,0.0550027156767572,0.0248386264371053,0.782362159885847,0.0377499214320527,NA,0.8201120813179,0.8201120813179,0.8201120813179,0.177599375396011,0.176596869279948,NA,NA,NA,0.996708950597848,0.997711456713911,NA,NA,NA,NA,0.960293415841865,0.576074813996167,0.271328175853719,0,0.132841461671228,0.563674061057069,0.266547245376429,0,0.12692133326449,0.847402989849887,0.980244451521114,0.830221306433499,0.957142639697989,0.0197555484788857,0.152597010150113,0.0428573603020113,0.0139968835460363
"ARG","urban","male","2",44494502,2018,NA,3660.31938023423,4871.42857142857,21701.3706893347,66600,0.822044925828521,0.0379515751974765,NA,0.859996501025998,0.859996501025998,0.859996501025998,0.13982166159458,0.137087806075601,NA,NA,NA,0.997084307101599,0.999818162620577,NA,NA,NA,NA,0.962131207724442,0.55558825698717,0.290625897087169,0,0.145351311361059,0.539174137617522,0.2842421104728,0,0.135072807995524,0.846214154074339,0.991565465435398,0.823416248090322,0.958489056085845,0.00843453456460162,0.153785845925661,0.0415109439141547,0.00468311421988498,0.82381067240156,0.0351670386000574,NA,0.858977711001618,0.858977711001618,0.858977711001618,0.140588366709138,0.13774485614893,NA,NA,NA,0.996722567150548,0.999566077710756,NA,NA,NA,NA,0.959890420812558,0.565478689321461,0.284279247098797,0,0.141260731444452,0.547535358222183,0.277213740176908,0,0.132018248058704,0.849757936420258,0.991018667864709,0.824749098399091,0.956767346457795,0.00898133213529046,0.150242063579742,0.0432326535422052,0.00571709494244239
"ARG","urban","male","3",44494502,2018,NA,6229.98866480294,7916.66666666667,31257.8131252535,84900,0.844622026704275,0.0175267074406355,NA,0.86214873414491,0.86214873414491,0.86214873414491,0.135830205894716,0.133786274056015,NA,NA,NA,0.995935008200925,0.997978940039627,NA,NA,NA,NA,0.973362984074582,0.580864818024487,0.289175812510556,0,0.123476807204668,0.567709029908018,0.281836653180012,0,0.123105494535882,0.870040630535043,0.993517437739711,0.849545683088029,0.972651177623912,0.00648256226028947,0.129959369464957,0.0273488223760884,0.0080362993507617,0.840776852416097,0.0189637077662672,NA,0.859740560182364,0.859740560182364,0.859740560182364,0.13701982756675,0.134995598889566,NA,NA,NA,0.99473615907193,0.996760387749114,NA,NA,NA,NA,0.972858408377909,0.583777958336155,0.27621679418602,0,0.133140079445686,0.569392816033584,0.269662525108899,0,0.132714920892861,0.859994752522175,0.993134831967861,0.839055341142483,0.971770262035344,0.00686516803213939,0.140005247477825,0.0282297379646557,0.00659376622204166
"ARG","urban","male","4",44494502,2018,NA,10081.4326354783,13000,42433.2022802702,100400,0.907349608525018,0.00684433883838245,NA,0.9141939473634,0.9141939473634,0.9141939473634,0.0858024941860976,0.0855543111914934,NA,NA,NA,0.999748258554894,0.999996441549498,NA,NA,NA,NA,0.993396878678643,0.712353637902374,0.216300640914791,0,0.0698832737381204,0.70932395800241,0.214449792383341,0,0.0693959931544498,0.928654278817165,0.998537552555285,0.923773750385751,0.993169743540201,0.00146244744471455,0.071345721182835,0.00683025645979905,0.00109600275469496,0.905772129255945,0.00883845215288551,NA,0.91461058140883,0.91461058140883,0.91461058140883,0.0853764444125458,0.0848801130685865,NA,NA,NA,0.999490694477417,0.999987025821376,NA,NA,NA,NA,0.989837629534752,0.713280037983978,0.212556796537275,0,0.0724726576086656,0.708230045989322,0.210100536082019,0,0.0711161658265656,0.925836834521253,0.998309492129918,0.918330582071341,0.989446747897907,0.00169050787008154,0.0741631654787472,0.010553252102093,0.00117264491053338
