"iso","scope","quintile","gender","year_survey","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access"
"BOL","country","2","male",2020,11677406,0.157757029939284,655.586877554723,837.777791341146,3490.56919663951,9855.00016403198,0.394,0.137,0.0507,0.581,0.531,0.531,0.397,0.394,0.03,NA,NA,0.925,0.928,NA,NA,NA,NA,NA,0.408,0.147,0.223,0.223,NA,NA,NA,NA,0.778,0.778,NA,NA,0.222,0.222,NA,0.093
"BOL","rural","1","male",2020,11677406,0.117628402602514,223.066217487651,480,1326.51213301034,5610.66668510437,0.019,0.0459,0.00217,0.0671,0.0649,0.0649,0.706,0.702,0.000569,NA,NA,0.767,0.771,NA,NA,NA,NA,NA,0.0357,0.0493,0.324,0.324,NA,NA,NA,NA,0.409,0.409,NA,NA,0.591,0.591,NA,0.423
"BOL","rural","2","male",2020,11677406,0.0529042640994763,638.755833800293,837.222249348958,3234.13411077378,7329.99987792969,0.0463,0.0503,0.00847,0.105,0.0966,0.0966,0.715,0.707,0.00343,NA,NA,0.803,0.812,NA,NA,NA,NA,NA,0.0747,0.0962,0.308,0.308,NA,NA,NA,NA,0.479,0.479,NA,NA,0.521,0.521,NA,0.22
"BOL","rural","3","male",2020,11677406,0.031115703624799,1020.23288852239,1267.5,5105.19363648097,9640,0.0346,0.0953,0.00594,0.136,0.13,0.13,0.739,0.729,0.00214,NA,NA,0.859,0.869,NA,NA,NA,NA,NA,0.0866,0.0878,0.305,0.305,NA,NA,NA,NA,0.479,0.479,NA,NA,0.521,0.521,NA,0.249
"BOL","rural","4","male",2020,11677406,0.0267783269588333,1578.73745904049,2072.33333301544,7555.43282353096,17833.3333129883,0.129,0.0695,0.012,0.211,0.199,0.199,0.624,0.617,0.00393,NA,NA,0.816,0.823,NA,NA,NA,NA,NA,0.211,0.0452,0.337,0.337,NA,NA,NA,NA,0.594,0.594,NA,NA,0.406,0.406,NA,0.166
"BOL","rural","5","male",2020,11677406,0.0109340371788353,3409.74729394073,20575,9473.03482913115,41150,0.107,0.102,0.0115,0.221,0.209,0.209,0.632,0.622,0.0341,NA,NA,0.831,0.842,NA,NA,NA,NA,NA,0.199,0.056,0.404,0.404,NA,NA,NA,NA,0.659,0.659,NA,NA,0.341,0.341,NA,0.125
"BOL","rural","total","male",2020,11677406,0.260022989451202,649.998751221381,20575,3096.03453127402,41150,0.0457,0.0596,0.00586,0.111,0.105,0.105,0.699,0.692,0.00382,NA,NA,0.797,0.804,NA,NA,NA,NA,NA,0.0821,0.0653,0.324,0.324,NA,NA,NA,NA,0.471,0.471,NA,NA,0.529,0.529,NA,0.305
"BOL","urban","1","all",2020,11677406,0.0621040426567879,315.440686835471,480,1734.35520044167,4300,0.538,0.243,0.0531,0.835,0.782,0.782,0.212,0.21,0.0502,NA,NA,0.992,0.994,NA,NA,NA,NA,NA,0.595,0.181,0.178,0.178,NA,NA,NA,NA,0.954,0.954,NA,NA,0.0462,0.0462,NA,0.0213
"BOL","urban","2","all",2020,11677406,0.136380855887965,665.809651507533,837.777791341146,3648.27032054217,11703.3334960938,0.578,0.218,0.0716,0.868,0.796,0.796,0.198,0.197,0.047,NA,NA,0.994,0.994,NA,NA,NA,NA,NA,0.601,0.166,0.189,0.189,NA,NA,NA,NA,0.957,0.957,NA,NA,0.0432,0.0432,NA,0.016
"BOL","urban","3","all",2020,11677406,0.163575013712517,1038.98178951906,1272.66669921875,5247.66393931426,11834.3333129883,0.643,0.185,0.0486,0.877,0.828,0.828,0.169,0.168,0.0511,NA,NA,0.996,0.997,NA,NA,NA,NA,NA,0.642,0.171,0.148,0.148,NA,NA,NA,NA,0.961,0.961,NA,NA,0.0393,0.0393,NA,0.0124
"BOL","urban","4","all",2020,11677406,0.170391788621439,1613.98798526543,2082,7793.59987477967,19816.6667480469,0.699,0.166,0.0349,0.899,0.864,0.864,0.128,0.127,0.0411,NA,NA,0.992,0.993,NA,NA,NA,NA,NA,0.719,0.144,0.106,0.106,NA,NA,NA,NA,0.969,0.969,NA,NA,0.0306,0.0306,NA,0.00538
"BOL","rural","4","female",2020,11677406,0.00282988441972724,1544.47802363988,2064,5782.91015275198,11042.1669921875,0.0994,0.0673,0.0337,0.2,0.167,0.167,0.72,0.72,0,NA,NA,0.886,0.886,NA,NA,NA,NA,NA,0.206,0.195,0.358,0.358,NA,NA,NA,NA,0.759,0.759,NA,NA,0.241,0.241,NA,0.186
"BOL","rural","5","female",2020,11677406,0.00275928893290907,3270.60978358711,34350,8729.83028239851,34350,0.294,0.123,0.0158,0.433,0.417,0.417,0.541,0.503,0.00371,NA,NA,0.92,0.958,NA,NA,NA,NA,NA,0.247,0.197,0.3,0.3,NA,NA,NA,NA,0.744,0.744,NA,NA,0.256,0.256,NA,0.103
"BOL","rural","total","female",2020,11677406,0.0453832434471597,655.006717813959,34350,2605.84439862492,34350,0.0555,0.0642,0.00721,0.127,0.12,0.12,0.668,0.651,0.00741,NA,NA,0.771,0.788,NA,NA,NA,NA,NA,0.11,0.0718,0.354,0.354,NA,NA,NA,NA,0.536,0.536,NA,NA,0.464,0.464,NA,0.306
"BOL","urban","2","female",2020,11677406,0.0315280900481575,671.564904660385,837.5,3742.43680844847,11703.3334960938,0.515,0.305,0.0592,0.879,0.82,0.82,0.167,0.165,0.0507,NA,NA,0.984,0.987,NA,NA,NA,NA,NA,0.591,0.133,0.238,0.238,NA,NA,NA,NA,0.962,0.962,NA,NA,0.0378,0.0378,NA,0.0118
"BOL","urban","3","female",2020,11677406,0.0335606203855153,1040.22878708267,1269.44441731771,4694.87443239494,10074.9999980927,0.677,0.193,0.0397,0.909,0.869,0.869,0.125,0.125,0.0294,NA,NA,0.995,0.995,NA,NA,NA,NA,NA,0.663,0.193,0.116,0.116,NA,NA,NA,NA,0.972,0.972,NA,NA,0.0279,0.0279,NA,0.00863
"BOL","urban","4","female",2020,11677406,0.0413386895067835,1633.95698047816,2081.8,7287.72982084661,14130,0.684,0.176,0.0232,0.883,0.86,0.86,0.126,0.126,0.0473,NA,NA,0.986,0.986,NA,NA,NA,NA,NA,0.723,0.135,0.107,0.107,NA,NA,NA,NA,0.965,0.965,NA,NA,0.0351,0.0351,NA,0.00418
