"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"BOL","country","4","male",11677406,0.155831426073489,2020,1602.63313692598,2082,7886.86918692924,19816.6667480469,0.593,0.144,0.034,0.771,0.737,0.737,0.224,0.222,0.0321,NA,NA,0.96,0.962,NA,NA,NA,NA,NA,0.621,0.127,0.151,0.151,NA,NA,NA,NA,0.898,0.898,NA,NA,0.102,0.102,NA,0.0366,"BOL_2020"
"BOL","country","5","male",11677406,0.149540378631884,2020,3519.99208179038,55500,13075.6043367644,211300,0.699,0.107,0.0195,0.826,0.806,0.806,0.175,0.173,0.0607,NA,NA,0.98,0.981,NA,NA,NA,NA,NA,0.73,0.121,0.104,0.104,NA,NA,NA,NA,0.955,0.955,NA,NA,0.0453,0.0453,NA,0.0154,"BOL_2020"
"BOL","country","total","male",11677406,0.789980992105552,2020,1229.96460497786,55500,5612.62018729884,211300,0.467,0.13,0.033,0.63,0.597,0.597,0.337,0.334,0.0361,NA,NA,0.931,0.934,NA,NA,NA,NA,NA,0.49,0.126,0.191,0.191,NA,NA,NA,NA,0.807,0.807,NA,NA,0.193,0.193,NA,0.106,"BOL_2020"
"BOL","rural","1","all",11677406,0.137895957343212,2020,225.70970670375,480,1309.27076991551,5610.66668510437,0.0168,0.0466,0.00268,0.0661,0.0634,0.0634,0.705,0.7,0.00155,NA,NA,0.763,0.769,NA,NA,NA,NA,NA,0.0418,0.0464,0.336,0.336,NA,NA,NA,NA,0.424,0.424,NA,NA,0.576,0.576,NA,0.409,"BOL_2020"
"BOL","rural","2","all",11677406,0.0636191441120347,2020,643.930681243025,837.222249348958,3210.43497135945,7329.99987792969,0.0436,0.0526,0.00687,0.103,0.0962,0.0962,0.706,0.696,0.00278,NA,NA,0.792,0.802,NA,NA,NA,NA,NA,0.0742,0.0901,0.326,0.326,NA,NA,NA,NA,0.491,0.491,NA,NA,0.509,0.509,NA,0.229,"BOL_2020"
"BOL","rural","3","all",11677406,0.0364249862874828,2020,1011.54312558288,1267.5,4893.11670532201,9640,0.0484,0.0926,0.00633,0.147,0.141,0.141,0.714,0.701,0.00746,NA,NA,0.842,0.855,NA,NA,NA,NA,NA,0.104,0.0861,0.281,0.281,NA,NA,NA,NA,0.471,0.471,NA,NA,0.529,0.529,NA,0.284,"BOL_2020"
"BOL","rural","4","all",11677406,0.0296082113785605,2020,1575.4630213776,2072.33333301544,7386.01920291344,17833.3333129883,0.126,0.0692,0.0147,0.21,0.195,0.195,0.635,0.63,0.00345,NA,NA,0.825,0.83,NA,NA,NA,NA,NA,0.211,0.0635,0.34,0.34,NA,NA,NA,NA,0.614,0.614,NA,NA,0.386,0.386,NA,0.168,"BOL_2020"
"BOL","rural","5","all",11677406,0.0136933261117443,2020,3381.71023491371,34350,9323.27456899039,41150,0.146,0.106,0.0124,0.265,0.253,0.253,0.613,0.597,0.0277,NA,NA,0.85,0.866,NA,NA,NA,NA,NA,0.209,0.0854,0.382,0.382,NA,NA,NA,NA,0.676,0.676,NA,NA,0.324,0.324,NA,0.12,"BOL_2020"
"BOL","rural","total","all",11677406,0.305406232898361,2020,650.742933044029,34350,3023.19247459991,41150,0.0475,0.0604,0.0061,0.114,0.108,0.108,0.693,0.685,0.00446,NA,NA,0.793,0.801,NA,NA,NA,NA,NA,0.087,0.0664,0.329,0.329,NA,NA,NA,NA,0.483,0.483,NA,NA,0.517,0.517,NA,0.305,"BOL_2020"
"BOL","rural","1","female",11677406,0.0202675547406979,2020,241.051933122527,479.166656494141,1209.2057139439,4322.50001907349,0.00635,0.0499,0.00509,0.0614,0.0563,0.0563,0.701,0.687,0.00614,NA,NA,0.744,0.757,NA,NA,NA,NA,NA,0.07,0.0327,0.391,0.391,NA,NA,NA,NA,0.494,0.494,NA,NA,0.506,0.506,NA,0.341,"BOL_2020"
