"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","all","5",0.2,4570,65000,18400,84000,0.639,0.0453,0.0122,0.697,0.685,0.685,0.248,0.174,NA,NA,NA,0.859,0.933,NA,NA,NA,NA,NA,0.188,NA,0,0.81,NA,NA,NA,NA,0.188,0.998,NA,NA,0.00165165165165165,0.811711711711712,NA,0.00105105105105105,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","all","total",1,1390,65000,6440,84000,0.645,0.0547,0.0103,0.71,0.7,0.7,0.224,0.16,NA,NA,NA,0.86,0.924,NA,NA,NA,NA,NA,0.203,NA,0,0.796,NA,NA,NA,NA,0.203,0.998,NA,NA,0.00177171856701,0.797423500795772,NA,0.000960932104141017,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","female","1",0.075,0,0,0,0,0.613,0.0573,0.00956,0.68,0.67,0.67,0.222,0.192,NA,NA,NA,0.863,0.892,NA,NA,NA,NA,NA,0.343,NA,0,0.653,NA,NA,NA,NA,0.343,0.996,NA,NA,0.00398247710075667,0.657108721624851,NA,0.003584229390681,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","female","2",0.0711,0,0,0,0,0.693,0.0603,0.00549,0.759,0.753,0.753,0.177,0.121,NA,NA,NA,0.874,0.93,NA,NA,NA,NA,NA,0.192,NA,0,0.807,NA,NA,NA,NA,0.192,0.999,NA,NA,0.000843881856540084,0.808016877637131,NA,0.000421940928270042,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","female","3",0.0754,757,1400,4630,13500,0.637,0.0575,0.00703,0.702,0.695,0.695,0.22,0.146,NA,NA,NA,0.841,0.915,NA,NA,NA,NA,NA,0.213,NA,0,0.782,NA,NA,NA,NA,0.213,0.995,NA,NA,0.00454733360892931,0.786688714344771,NA,0,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","female","4",0.0614,1970,2750,10700,27000,0.656,0.0615,0.0141,0.731,0.717,0.717,0.225,0.155,NA,NA,NA,0.872,0.942,NA,NA,NA,NA,NA,0.185,NA,0,0.815,NA,NA,NA,NA,0.185,1,NA,NA,0.000484496124031008,0.815406976744186,NA,0.000484496124031008,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","female","5",0.0489,4470,30000,18500,61000,0.647,0.0468,0.0136,0.707,0.694,0.694,0.248,0.171,NA,NA,NA,0.865,0.942,NA,NA,NA,NA,NA,0.205,NA,0,0.794,NA,NA,NA,NA,0.205,0.999,NA,NA,0.00123228589032656,0.794824399260628,NA,0,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","female","total",0.336,1140,30000,5620,61000,0.648,0.0572,0.00956,0.715,0.706,0.706,0.216,0.157,NA,NA,NA,0.862,0.922,NA,NA,NA,NA,NA,0.232,NA,0,0.766,NA,NA,NA,NA,0.232,0.998,NA,NA,0.00236643305724948,0.768271593701647,NA,0.00100118321652862,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","male","1",0.125,0,0,0,0,0.641,0.041,0.00651,0.688,0.682,0.682,0.2,0.165,NA,NA,NA,0.847,0.882,NA,NA,NA,NA,NA,0.301,NA,0,0.695,NA,NA,NA,NA,0.301,0.996,NA,NA,0.00385542168674699,0.699036144578313,NA,0.00265060240963855,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","male","2",0.129,0,0,0,0,0.679,0.0615,0.00676,0.747,0.74,0.74,0.199,0.14,NA,NA,NA,0.881,0.939,NA,NA,NA,NA,NA,0.174,NA,0,0.825,NA,NA,NA,NA,0.174,1,NA,NA,0.000233100233100233,0.825641025641026,NA,0.000233100233100233,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","male","3",0.125,875,1400,4830,12500,0.649,0.0556,0.0167,0.721,0.704,0.704,0.236,0.162,NA,NA,NA,0.867,0.941,NA,NA,NA,NA,NA,0.131,NA,0,0.868,NA,NA,NA,NA,0.131,1,NA,NA,0.000235793444942231,0.868663051167178,NA,0.000235793444942231,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","male","4",0.139,1990,2750,10200,29700,0.615,0.0644,0.0111,0.691,0.68,0.68,0.25,0.166,NA,NA,NA,0.846,0.929,NA,NA,NA,NA,NA,0.158,NA,0,0.841,NA,NA,NA,NA,0.158,0.999,NA,NA,0.00130548302872063,0.842254134029591,NA,0.000217580504786771,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","male","5",0.151,4600,65000,18300,84000,0.637,0.0449,0.0117,0.694,0.682,0.682,0.248,0.175,NA,NA,NA,0.857,0.93,NA,NA,NA,NA,NA,0.183,NA,0,0.815,NA,NA,NA,NA,0.183,0.998,NA,NA,0.00178677784395473,0.817153067301965,NA,0.00138971610085368,"NA_2015"
NA,NA,NA,NA,1349667,NA,2015,"TTO","country","male","total",0.664,1510,65000,6860,84000,0.643,0.0534,0.0106,0.708,0.697,0.697,0.228,0.162,NA,NA,NA,0.859,0.925,NA,NA,NA,NA,NA,0.188,NA,0,0.81,NA,NA,NA,NA,0.188,0.999,NA,NA,0.00147889217531595,0.811777359505243,NA,0.000941113202473783,"NA_2015"
