"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","male","2",0.121,133000,160000,674000,1840000,0.885,0.019,0.0128,0.917,0.942,0.904,0.0775,0.0438,0,NA,NA,0.948,0.981,NA,NA,NA,0.898,NA,0.808,0.126,0.0579,0.0579,NA,NA,NA,NA,0.993,0.993,NA,NA,0.00717264950663294,0.00717264950663294,NA,0.00637273833201383,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","male","3",0.125,195000,235000,919000,3010000,0.922,0.0151,0.0086,0.945,0.962,0.937,0.0548,0.0294,0,NA,NA,0.966,0.991,NA,NA,NA,0.932,NA,0.851,0.103,0.0401,0.0401,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00588233091224345,0.00588233091224345,NA,0.00507857775480894,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","male","4",0.133,298000,388000,1350000,6100000,0.94,0.0144,0.00627,0.96,0.975,0.954,0.0395,0.0226,0,NA,NA,0.977,0.993,NA,NA,NA,0.951,NA,0.894,0.0777,0.0253,0.0253,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00328292925280848,0.00328292925280848,NA,0.00268206547255093,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","male","5",0.141,856000,48900000,3090000,87000000,0.962,0.0116,0.00164,0.975,0.983,0.973,0.0229,0.0105,0,NA,NA,0.984,0.996,NA,NA,NA,0.972,NA,0.935,0.0502,0.0124,0.0124,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00240753443950676,0.00240753443950676,NA,0.00179695189239166,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","country","male","total",0.626,302000,48900000,1250000,87000000,0.911,0.0161,0.0104,0.938,0.955,0.928,0.0594,0.0319,0,NA,NA,0.959,0.987,NA,NA,NA,0.923,NA,0.851,0.0986,0.045,0.045,NA,NA,NA,NA,0.994,0.994,NA,NA,0.00570035280314185,0.00570035280314185,NA,0.00494161446443805,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","all","1",0.04,70000,106000,335000,995000,0.449,0.0223,0.0985,0.57,0.652,0.471,0.416,0.227,0,NA,NA,0.698,0.887,NA,NA,NA,0.461,NA,0.143,0.495,0.334,0.334,NA,NA,NA,NA,0.972,0.972,NA,NA,0.0277331042677466,0.0277331042677466,NA,0.0241223405336343,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","all","2",0.0303,132000,160000,614000,1840000,0.521,0.022,0.0651,0.608,0.725,0.543,0.371,0.209,0,NA,NA,0.752,0.914,NA,NA,NA,0.531,NA,0.173,0.542,0.264,0.264,NA,NA,NA,NA,0.979,0.979,NA,NA,0.021273365070546,0.021273365070546,NA,0.0181847671732082,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","all","3",0.0225,193000,235000,823000,2030000,0.561,0.0133,0.0542,0.629,0.75,0.575,0.369,0.197,0,NA,NA,0.772,0.944,NA,NA,NA,0.566,NA,0.166,0.593,0.224,0.224,NA,NA,NA,NA,0.984,0.984,NA,NA,0.0162943081177177,0.0162943081177177,NA,0.0134062984570241,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","all","4",0.0164,294000,388000,1190000,3250000,0.567,0.0128,0.0537,0.634,0.774,0.58,0.361,0.209,0,NA,NA,0.789,0.941,NA,NA,NA,0.567,NA,0.168,0.633,0.18,0.18,NA,NA,NA,NA,0.981,0.981,NA,NA,0.0193268539204267,0.0193268539204267,NA,0.0127806101341073,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","all","5",0.0109,907000,21800000,3270000,87000000,0.599,0.00558,0.0316,0.636,0.75,0.604,0.337,0.157,0,NA,NA,0.761,0.941,NA,NA,NA,0.592,NA,0.276,0.587,0.119,0.119,NA,NA,NA,NA,0.982,0.982,NA,NA,0.0177465035776745,0.0177465035776745,NA,0.0143158568104787,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","all","total",0.125,197000,21800000,815000,87000000,0.518,0.0177,0.0695,0.605,0.715,0.536,0.381,0.208,0,NA,NA,0.744,0.917,NA,NA,NA,0.525,NA,0.17,0.553,0.255,0.255,NA,NA,NA,NA,0.978,0.978,NA,NA,0.0218600805979989,0.0218600805979989,NA,0.0181283471739308,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","female","1",0.0119,68300,106000,329000,995000,0.462,0.0183,0.11,0.591,0.674,0.481,0.415,0.25,0,NA,NA,0.731,0.895,NA,NA,NA,0.472,NA,0.153,0.481,0.33,0.33,NA,NA,NA,NA,0.964,0.964,NA,NA,0.035677251684506,0.035677251684506,NA,0.0319199246799113,"NA_2017"
