"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","all","1",NA,933,2400,6130,51000,0.789,0.0387,NA,0.827,0.827,0.827,0.171,0.17,NA,NA,NA,0.997,0.998,NA,NA,NA,NA,0.96,0.584,0.266,0,0.134,0.572,0.26,0,0.124,0.849,0.983,0.832,0.956611006492861,0.0168456782371008,0.150820659555413,0.0433889935071392,0.0117857221558641,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","all","2",NA,3610,4870,21700,69500,0.823,0.0399,NA,0.863,0.863,0.863,0.136,0.133,NA,NA,NA,0.996,0.999,NA,NA,NA,NA,0.952,0.563,0.28,0,0.148,0.542,0.27,0,0.137,0.843,0.99,0.812,0.948934892274347,0.00959253669323575,0.157178087645904,0.0510651077256528,0.00582318260277161,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","all","3",NA,6240,7920,31100,84900,0.838,0.023,NA,0.861,0.861,0.861,0.135,0.133,NA,NA,NA,0.994,0.996,NA,NA,NA,NA,0.965,0.596,0.269,0,0.128,0.577,0.261,0,0.125,0.865,0.993,0.838,0.96320449555608,0.00730739282042608,0.135183094220844,0.0367955044439197,0.00605142068186566,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","all","4",NA,10000,13000,41000,106000,0.903,0.00886,NA,0.912,0.912,0.912,0.0883,0.0866,NA,NA,NA,0.998,1,NA,NA,NA,NA,0.988,0.714,0.21,0,0.0748,0.707,0.208,0,0.0725,0.924,0.999,0.915,0.987271739825733,0.00125408374570213,0.076090397954333,0.0127282601742673,0.000832472222107746,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","all","5",NA,22400,1540000,70500,3080000,0.934,0.00344,NA,0.938,0.938,0.938,0.0624,0.0613,NA,NA,NA,0.999,1,NA,NA,NA,NA,0.992,0.821,0.147,0,0.0306,0.815,0.147,0,0.0293,0.968,0.999,0.962,0.991183420544712,0.00092616549210224,0.0315365710841422,0.00881657945528783,0.000388097205628449,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","all","total",0.919,7260,1540000,30200,3080000,0.857,0.0228,NA,0.88,0.88,0.88,0.118,0.117,NA,NA,NA,0.997,0.998,NA,NA,NA,NA,0.971,0.655,0.234,0,0.103,0.643,0.229,0,0.0975,0.89,0.993,0.872,0.969440916011747,0.00718537691192486,0.110162520444195,0.0305590839882529,0.00497634133468034,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","female","1",NA,1040,2400,6660,35100,0.798,0.0401,NA,0.839,0.839,0.839,0.161,0.159,NA,NA,NA,0.998,0.999,NA,NA,NA,NA,0.959,0.595,0.257,0,0.136,0.585,0.25,0,0.12,0.852,0.988,0.835,0.955812602585491,0.0124756506530959,0.148152945721911,0.0441873974145095,0.00846501179256911,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","female","2",NA,3550,4870,21700,69500,0.822,0.0465,NA,0.868,0.868,0.868,0.129,0.126,NA,NA,NA,0.994,0.997,NA,NA,NA,NA,0.942,0.559,0.274,0,0.156,0.534,0.261,0,0.143,0.833,0.99,0.795,0.937943689229244,0.0104502338135925,0.166911339453239,0.0620563107707559,0.00597205433415341,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","female","3",NA,6260,7900,30800,83500,0.833,0.0301,NA,0.863,0.863,0.863,0.131,0.13,NA,NA,NA,0.993,0.994,NA,NA,NA,NA,0.95,0.618,0.256,0,0.119,0.591,0.246,0,0.111,0.873,0.992,0.837,0.948297651089419,0.00807698841403121,0.126791190382438,0.0517023489105811,0.00510758680148117,"NA_2018"
NA,NA,NA,NA,44494502,NA,2018,"ARG","urban","female","4",NA,9930,13000,37700,106000,0.897,0.0089,NA,0.906,0.906,0.906,0.0936,0.0899,NA,NA,NA,0.996,1,NA,NA,NA,NA,0.983,0.714,0.206,0,0.0792,0.705,0.203,0,0.0749,0.92,1,0.908,0.983248459063505,0.000446796266519335,0.0796553490193716,0.0167515409364952,0.000203228473228223,"NA_2018"
