"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PER","country","1","male",32824358,2020,0.159728420957746,125.132293660076,202.594974381583,765.232385896791,2713.41621017456,0.778,0.0295,0.0266,0.834,0.807,0.536,0.146,0.049,NA,0.158,0.00385,0.585,0.682,0.145,0.00982,NA,NA,NA,0.498,0.175,0.19,0.19,NA,NA,NA,NA,0.862,0.862,NA,NA,0.138,0.138,NA,NA,"PER_2020"
"PER","country","2","male",32824358,2020,0.147185145486011,270.150143936383,342.789720535278,1533.18608328337,3845.8802690506,0.814,0.0321,0.0274,0.873,0.846,0.608,0.114,0.0427,NA,0.346,0.00596,0.65,0.721,0.324,0.018,NA,NA,NA,0.593,0.123,0.163,0.163,NA,NA,NA,NA,0.88,0.88,NA,NA,0.12,0.12,NA,NA,"PER_2020"
"PER","country","3","male",32824358,2020,0.142058899944535,428.544589836996,526.201889038086,2395.59230003673,8306.25729370117,0.832,0.0365,0.0333,0.902,0.869,0.699,0.11,0.0509,NA,0.469,0.00793,0.75,0.809,0.438,0.0247,NA,NA,NA,0.701,0.0832,0.122,0.122,NA,NA,NA,NA,0.906,0.906,NA,NA,0.0938,0.0938,NA,NA,"PER_2020"
"PER","country","4","male",32824358,2020,0.147584700085744,662.007131326245,839.053295135498,3523.30980595184,9009.00276565552,0.866,0.0374,0.0323,0.936,0.904,0.78,0.0865,0.0507,NA,0.542,0.013,0.831,0.867,0.51,0.0243,NA,NA,NA,0.796,0.0454,0.0929,0.0929,NA,NA,NA,NA,0.935,0.935,NA,NA,0.0652,0.0652,NA,NA,"PER_2020"
"PER","country","5","male",32824358,2020,0.1422893444784,1514.30364907935,28256.5826673508,6578.93792427385,56513.1653347015,0.905,0.0285,0.0189,0.952,0.933,0.852,0.0601,0.0294,NA,0.607,0.00961,0.882,0.912,0.585,0.0193,NA,NA,NA,0.883,0.0286,0.0516,0.0516,NA,NA,NA,NA,0.964,0.964,NA,NA,0.0364,0.0364,NA,NA,"PER_2020"
"PER","country","total","male",32824358,2020,0.740871580560774,544.902296032604,28256.5826673508,2725.37144288963,56513.1653347015,0.838,0.0327,0.0277,0.898,0.87,0.691,0.104,0.0447,NA,0.419,0.008,0.736,0.796,0.395,0.019,NA,NA,NA,0.69,0.0928,0.125,0.125,NA,NA,NA,NA,0.908,0.908,NA,NA,0.0918,0.0918,NA,NA,"PER_2020"
"PER","rural","1","all",32824358,2020,0.0837839574186406,131.892622124965,202.594974381583,782.475248737589,2469.25489664078,0.719,0.0182,0.00422,0.741,0.737,0.259,0.168,0.0103,NA,0.211,0.00585,0.269,0.427,0.198,0.0088,NA,NA,NA,0.172,0.312,0.279,0.279,NA,NA,NA,NA,0.763,0.763,NA,NA,0.237,0.237,NA,NA,"PER_2020"
"PER","rural","2","all",32824358,2020,0.0554703227470604,264.622720547891,342.789720535278,1386.79002115095,3849.53657817841,0.724,0.0147,0.00557,0.745,0.739,0.248,0.16,0.00986,NA,0.338,0.00632,0.258,0.408,0.324,0.00953,NA,NA,NA,0.209,0.277,0.28,0.28,NA,NA,NA,NA,0.766,0.766,NA,NA,0.234,0.234,NA,NA,"PER_2020"
"PER","rural","3","all",32824358,2020,0.0325809551498995,417.504808530782,526.201889038086,2113.57767584742,5173.77958679199,0.761,0.0116,0.0135,0.786,0.773,0.3,0.16,0.0235,NA,0.448,0.0117,0.324,0.46,0.433,0.00907,NA,NA,NA,0.247,0.265,0.251,0.251,NA,NA,NA,NA,0.762,0.762,NA,NA,0.238,0.238,NA,NA,"PER_2020"
"PER","rural","4","all",32824358,2020,0.0189822832840436,647.497953942903,838.917520713806,3050.78897245855,7553.15380597115,0.76,0.0147,0.0161,0.791,0.775,0.323,0.159,0.0284,NA,0.503,0.00821,0.351,0.482,0.485,0.00985,NA,NA,NA,0.328,0.21,0.261,0.261,NA,NA,NA,NA,0.8,0.8,NA,NA,0.2,0.2,NA,NA,"PER_2020"
