"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"CRI","country","1","all",5111238,0.2,2020,31375.521301127,55041.66796875,162460.866195598,564883.3359375,0.909,0.0174,NA,0.927,0.927,0.927,0.0313,0,NA,NA,NA,0.927,0.958,NA,NA,NA,NA,0.989,0.191,0.773,0,0.027,0.191,0.771,0,0.0255,0.964,0.991,0.962,0.987,0.00903,0.036,0.0129,0.00593,"CRI_2020"
"CRI","country","2","all",5111238,0.2,2020,75858.3664836504,96666.6666666667,360502.410721242,983440,0.945,0.00952,NA,0.954,0.954,0.954,0.0174,0,NA,NA,NA,0.954,0.972,NA,NA,NA,NA,0.992,0.17,0.814,0,0.0115,0.168,0.811,0,0.0115,0.984,0.996,0.979,0.991,0.00448,0.016,0.00935,0.00329,"CRI_2020"
"CRI","country","3","all",5111238,0.2,2020,124022.601156896,159477.08203125,572389.796813388,1872916.65625,0.94,0.0131,NA,0.953,0.953,0.953,0.0233,0,NA,NA,NA,0.953,0.977,NA,NA,NA,NA,0.993,0.196,0.793,0,0.00894,0.196,0.788,0,0.00894,0.989,0.998,0.984,0.993,0.00172,0.0107,0.00663,0.00172,"CRI_2020"
"CRI","country","4","all",5111238,0.2,2020,219576.840967199,306833.328125,915740.298019716,2111816.75,0.961,0.0124,NA,0.973,0.973,0.973,0.0141,0,NA,NA,NA,0.973,0.987,NA,NA,NA,NA,0.997,0.248,0.747,0,0.00328,0.248,0.746,0,0.00328,0.995,0.998,0.994,0.997,0.00163,0.00491,0.00291,0.00163,"CRI_2020"
"CRI","country","5","all",5111238,0.2,2020,595367.216933432,5562596.6640625,2083379.18909659,14125000,0.979,0.00736,NA,0.987,0.987,0.987,0.00558,0,NA,NA,NA,0.987,0.992,NA,NA,NA,NA,0.996,0.293,0.706,0,0.000718,0.293,0.702,0,0.000718,0.998,0.999,0.994,0.995,0.000866,0.00158,0.00478,0,"CRI_2020"
"CRI","country","total","all",5111238,1,2020,188305.55916419,5562596.6640625,747159.377357747,14125000,0.947,0.012,NA,0.959,0.959,0.959,0.0183,0,NA,NA,NA,0.959,0.977,NA,NA,NA,NA,0.994,0.22,0.767,0,0.0103,0.219,0.764,0,0.00999,0.986,0.996,0.983,0.993,0.00354,0.0138,0.00731,0.00251,"CRI_2020"
"CRI","country","1","female",5111238,0.0913938849232926,2020,31391.7745016029,55041.66796875,164823.368773466,419700,0.919,0.0183,NA,0.937,0.937,0.937,0.031,0,NA,NA,NA,0.937,0.968,NA,NA,NA,NA,0.983,0.214,0.748,0,0.029,0.214,0.743,0,0.0256,0.962,0.991,0.958,0.983,0.00904,0.038,0.0165,0.00904,"CRI_2020"
"CRI","country","2","female",5111238,0.069930391619962,2020,75579.9943995213,96666.6666666667,351306.470398671,983440,0.971,0.0054,NA,0.977,0.977,0.977,0.0172,0,NA,NA,NA,0.977,0.994,NA,NA,NA,NA,0.99,0.194,0.789,0,0.0112,0.188,0.788,0,0.0112,0.983,0.994,0.976,0.987,0.00612,0.0173,0.0128,0.00289,"CRI_2020"
"CRI","country","3","female",5111238,0.0743929390152481,2020,124100.527871413,159341.671875,545755.207759508,1339166.65625,0.966,0.0126,NA,0.979,0.979,0.979,0.0125,0,NA,NA,NA,0.979,0.991,NA,NA,NA,NA,0.994,0.227,0.761,0,0.0106,0.227,0.757,0,0.0106,0.988,0.998,0.983,0.994,0.00188,0.0125,0.00603,0.00188,"CRI_2020"
"CRI","country","4","female",5111238,0.0673458307799201,2020,219267.750758678,306833.328125,879253.381283744,2111816.75,0.966,0.0186,NA,0.985,0.985,0.985,0.0102,0,NA,NA,NA,0.985,0.995,NA,NA,NA,NA,0.998,0.281,0.714,0,0.00317,0.281,0.714,0,0.00317,0.995,0.998,0.995,0.998,0.00165,0.00482,0.00228,0.00165,"CRI_2020"
"CRI","country","5","female",5111238,0.0685872126962289,2020,591040.620743933,3465060,1938663.57994815,14125000,0.978,0.00951,NA,0.987,0.987,0.987,0.00535,0,NA,NA,NA,0.987,0.992,NA,NA,NA,NA,1,0.296,0.703,0,0.000728,0.296,0.703,0,0.000728,0.999,1,0.999,1,0,0.000728,0.000428,0,"CRI_2020"
"CRI","country","total","female",5111238,0.375274037350976,2020,175054.132644136,3465060,667004.099669757,14125000,0.958,0.0131,NA,0.971,0.971,0.971,0.0159,0,NA,NA,NA,0.971,0.987,NA,NA,NA,NA,0.993,0.241,0.744,0,0.0118,0.24,0.741,0,0.011,0.984,0.996,0.981,0.992,0.00396,0.0157,0.00799,0.00334,"CRI_2020"
"CRI","country","1","male",5111238,0.108606115076707,2020,31361.8439577023,55000.0004882812,160472.780270784,564883.3359375,0.901,0.0167,NA,0.918,0.918,0.918,0.0316,0,NA,NA,NA,0.918,0.949,NA,NA,NA,NA,0.994,0.171,0.794,0,0.0253,0.171,0.793,0,0.0253,0.966,0.991,0.965,0.99,0.00902,0.0343,0.00991,0.00335,"CRI_2020"
"CRI","country","2","male",5111238,0.130069608380038,2020,76008.0299530932,96660,365446.49962933,737742,0.929,0.0119,NA,0.941,0.941,0.941,0.0175,0,NA,NA,NA,0.941,0.958,NA,NA,NA,NA,0.993,0.156,0.828,0,0.0117,0.156,0.825,0,0.0117,0.985,0.996,0.981,0.993,0.00352,0.0152,0.00736,0.00352,"CRI_2020"
"CRI","country","3","male",5111238,0.125607060984752,2020,123976.447721927,159477.08203125,588164.589596909,1872916.65625,0.924,0.0135,NA,0.937,0.937,0.937,0.0302,0,NA,NA,NA,0.937,0.967,NA,NA,NA,NA,0.993,0.177,0.813,0,0.00788,0.177,0.808,0,0.00788,0.991,0.998,0.985,0.993,0.00161,0.00949,0.00701,0.00161,"CRI_2020"
"CRI","country","4","male",5111238,0.13265416922008,2020,219733.75979607,306666.6875,934263.965497556,2085974.9765625,0.957,0.00898,NA,0.966,0.966,0.966,0.0163,0,NA,NA,NA,0.966,0.983,NA,NA,NA,NA,0.997,0.229,0.766,0,0.00334,0.229,0.764,0,0.00334,0.995,0.998,0.993,0.997,0.00162,0.00496,0.00326,0.00162,"CRI_2020"
"CRI","country","5","male",5111238,0.131412787303771,2020,597625.362272164,5562596.6640625,2158909.43595289,11070833.3125,0.98,0.0061,NA,0.986,0.986,0.986,0.00572,0,NA,NA,NA,0.986,0.992,NA,NA,NA,NA,0.994,0.291,0.707,0,0.000712,0.291,0.701,0,0.000712,0.998,0.999,0.992,0.993,0.00138,0.00209,0.00735,0,"CRI_2020"
"CRI","country","total","male",5111238,0.624725962649024,2020,196265.715501784,5562596.6640625,795308.800419039,11070833.3125,0.939,0.0113,NA,0.951,0.951,0.951,0.0199,0,NA,NA,NA,0.951,0.971,NA,NA,NA,NA,0.994,0.206,0.781,0,0.00936,0.206,0.778,0,0.00936,0.987,0.997,0.984,0.993,0.00328,0.0126,0.00688,0.00199,"CRI_2020"
"CRI","rural","1","all",5111238,0.075330096851544,2020,31868.9058784904,55000.0004882812,164489.265724064,564883.3359375,0.811,0.0246,NA,0.836,0.836,0.836,0.0659,0,NA,NA,NA,0.836,0.902,NA,NA,NA,NA,0.988,0.0404,0.906,0,0.0467,0.0404,0.905,0,0.0427,0.947,0.994,0.946,0.988,0.00637,0.0531,0.0116,0.00637,"CRI_2020"
"CRI","rural","2","all",5111238,0.0647094601680202,2020,75463.9266877911,96666.6666666667,344302.59400637,737742,0.873,0.0144,NA,0.888,0.888,0.888,0.0483,0,NA,NA,NA,0.888,0.936,NA,NA,NA,NA,0.991,0.0459,0.932,0,0.0177,0.0459,0.927,0,0.0177,0.978,0.996,0.973,0.991,0.00427,0.022,0.009,0.00427,"CRI_2020"
