"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"HTI","country","total","all",10840000,1,2016,NA,NA,NA,NA,0.0149,0.026,0.028,0.0689,0.0409,0.0386,0.682,0.682,0.346,0.231,NA,0.721,0.721,0.00918,0.0158,0.44,NA,0.459,0.00227,0.134,0.674,0.674,0.000913,0.112,0.235,0.235,0.81,0.81,0.348,0.348,0.19,0.19,0.652,0,"HTI_2016"
"HTI","country","total","female",10840000,0.292754185507397,2016,NA,NA,NA,NA,0.0127,0.0224,0.0232,0.0583,0.0352,0.0308,0.733,0.733,0.418,0.218,NA,0.764,0.764,0.00692,0.0133,0.41,NA,0.438,0.00255,0.15,0.676,0.676,0.00113,0.117,0.228,0.228,0.829,0.829,0.346,0.346,0.171,0.171,0.654,0,"HTI_2016"
"HTI","country","total","male",10840000,0.515715846827293,2016,NA,NA,NA,NA,0.0163,0.0283,0.0309,0.0755,0.0445,0.0434,0.651,0.651,0.301,0.239,NA,0.694,0.694,0.0106,0.0174,0.458,NA,0.472,0.00209,0.124,0.673,0.673,0.000779,0.108,0.239,0.239,0.799,0.799,0.348,0.348,0.201,0.201,0.652,0,"HTI_2016"
"HTI","rural","total","all",10840000,0.53585266028903,2016,NA,NA,NA,NA,0.00816,0.0199,0.0347,0.0627,0.028,0.0271,0.542,0.542,0.121,0.273,NA,0.569,0.569,0.00597,0.0122,0.552,NA,0.413,0.000181,0.0351,0.719,0.719,0.000181,0.0322,0.223,0.223,0.754,0.754,0.255,0.255,0.246,0.246,0.745,0,"HTI_2016"
"HTI","rural","total","female",10840000,0.132728032374287,2016,NA,NA,NA,NA,0.00466,0.0178,0.0264,0.0488,0.0224,0.0211,0.576,0.576,0.158,0.286,NA,0.597,0.597,0.00304,0.0118,0.539,NA,0.397,0,0.0346,0.736,0.736,0,0.0289,0.234,0.234,0.771,0.771,0.263,0.263,0.229,0.229,0.737,0,"HTI_2016"
"HTI","rural","total","male",10840000,0.292883548243839,2016,NA,NA,NA,NA,0.00993,0.021,0.0388,0.0697,0.0309,0.0302,0.525,0.525,0.102,0.267,NA,0.555,0.555,0.00745,0.0124,0.558,NA,0.422,0.000273,0.0353,0.71,0.71,0.000273,0.0339,0.217,0.217,0.745,0.745,0.251,0.251,0.255,0.255,0.749,0,"HTI_2016"
"HTI","urban","total","all",10840000,0.46414733971097,2016,NA,NA,NA,NA,0.0234,0.0337,0.0196,0.0767,0.0571,0.0529,0.857,0.857,0.627,0.177,NA,0.91,0.91,0.0132,0.0203,0.3,NA,0.517,0.00488,0.258,0.619,0.619,0.00183,0.211,0.25,0.25,0.881,0.881,0.463,0.463,0.119,0.119,0.537,0,"HTI_2016"
"HTI","urban","total","female",10840000,0.160026153133111,2016,NA,NA,NA,NA,0.0205,0.0269,0.0201,0.0675,0.0474,0.0401,0.884,0.884,0.669,0.152,NA,0.924,0.924,0.0107,0.0147,0.286,NA,0.478,0.00501,0.262,0.618,0.618,0.00222,0.202,0.223,0.223,0.884,0.884,0.427,0.427,0.116,0.116,0.573,0,"HTI_2016"
"HTI","urban","total","male",10840000,0.222832298583454,2016,NA,NA,NA,NA,0.0256,0.039,0.0193,0.0839,0.0646,0.0628,0.836,0.836,0.595,0.197,NA,0.899,0.899,0.0152,0.0246,0.311,NA,0.547,0.00478,0.255,0.619,0.619,0.00153,0.218,0.271,0.271,0.879,0.879,0.491,0.491,0.121,0.121,0.509,0,"HTI_2016"
