"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,10840000,NA,2016,"HTI","country","all","total",1,NA,NA,NA,NA,0.0149,0.026,0.028,0.0689,0.0409,0.0386,0.682,0.682,0.346,0.231,NA,0.721,0.721,0.00918,0.0158,0.44,NA,0.459,0.00227,0.134,0.674,0.674,0.000913,0.112,0.235,0.235,0.81,0.81,0.348,0.347563342768928,0.189542842533359,0.189542842533359,0.652436657231072,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","country","female","total",0.293,NA,NA,NA,NA,0.0127,0.0224,0.0232,0.0583,0.0352,0.0308,0.733,0.733,0.418,0.218,NA,0.764,0.764,0.00692,0.0133,0.41,NA,0.438,0.00255,0.15,0.676,0.676,0.00113,0.117,0.228,0.228,0.829,0.829,0.346,0.346488012519198,0.171282965185992,0.171282965185992,0.653511987480802,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","country","male","total",0.516,NA,NA,NA,NA,0.0163,0.0283,0.0309,0.0755,0.0445,0.0434,0.651,0.651,0.301,0.239,NA,0.694,0.694,0.0106,0.0174,0.458,NA,0.472,0.00209,0.124,0.673,0.673,0.000779,0.108,0.239,0.239,0.799,0.799,0.348,0.348227135138868,0.20081451210861,0.20081451210861,0.651772864861132,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","rural","all","total",0.536,NA,NA,NA,NA,0.00816,0.0199,0.0347,0.0627,0.028,0.0271,0.542,0.542,0.121,0.273,NA,0.569,0.569,0.00597,0.0122,0.552,NA,0.413,0.000181,0.0351,0.719,0.719,0.000181,0.0322,0.223,0.223,0.754,0.754,0.255,0.255132742178485,0.246176668133208,0.246176668133208,0.744867257821515,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","rural","female","total",0.133,NA,NA,NA,NA,0.00466,0.0178,0.0264,0.0488,0.0224,0.0211,0.576,0.576,0.158,0.286,NA,0.597,0.597,0.00304,0.0118,0.539,NA,0.397,0,0.0346,0.736,0.736,0,0.0289,0.234,0.234,0.771,0.771,0.263,0.26267497435315,0.229200784295384,0.229200784295384,0.73732502564685,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","rural","male","total",0.293,NA,NA,NA,NA,0.00993,0.021,0.0388,0.0697,0.0309,0.0302,0.525,0.525,0.102,0.267,NA,0.555,0.555,0.00745,0.0124,0.558,NA,0.422,0.000273,0.0353,0.71,0.71,0.000273,0.0339,0.217,0.217,0.745,0.745,0.251,0.251301323401518,0.254800337968026,0.254800337968026,0.748698676598482,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","urban","all","total",0.464,NA,NA,NA,NA,0.0234,0.0337,0.0196,0.0767,0.0571,0.0529,0.857,0.857,0.627,0.177,NA,0.91,0.91,0.0132,0.0203,0.3,NA,0.517,0.00488,0.258,0.619,0.619,0.00183,0.211,0.25,0.25,0.881,0.881,0.463,0.463235862328907,0.118668291707036,0.118668291707036,0.536764137671093,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","urban","female","total",0.16,NA,NA,NA,NA,0.0205,0.0269,0.0201,0.0675,0.0474,0.0401,0.884,0.884,0.669,0.152,NA,0.924,0.924,0.0107,0.0147,0.286,NA,0.478,0.00501,0.262,0.618,0.618,0.00222,0.202,0.223,0.223,0.884,0.884,0.427,0.427201168945982,0.115507275675571,0.115507275675571,0.572798831054018,0,"NA_2016"
NA,NA,NA,NA,10840000,NA,2016,"HTI","urban","male","total",0.223,NA,NA,NA,NA,0.0256,0.039,0.0193,0.0839,0.0646,0.0628,0.836,0.836,0.595,0.197,NA,0.899,0.899,0.0152,0.0246,0.311,NA,0.547,0.00478,0.255,0.619,0.619,0.00153,0.218,0.271,0.271,0.879,0.879,0.491,0.491293082291851,0.121129512097029,0.121129512097029,0.508706917708149,0,"NA_2016"
