"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","all","1",0.2,199,360,1050,5000,0.705,0.0269,NA,0.732,0.769,0.732,0.268,0.019,NA,0.603,0.743,0.751,1,0.562,0.017,NA,NA,0.912,0.387,0.332,0,0.177,0.386,0.322,0,0.15,0.719,0.896,0.708,0.858014213938895,0.103940978103628,0.281147177317408,0.141985786061105,0.0242648101958038,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","all","2",0.2,508,666,2350,8620,0.805,0.0131,NA,0.818,0.852,0.818,0.182,0.00764,NA,0.714,0.839,0.826,1,0.681,0.00969,NA,NA,0.977,0.525,0.303,0,0.121,0.524,0.299,0,0.113,0.828,0.949,0.823,0.936643377810219,0.0508751540723739,0.17217934672881,0.0633566221897808,0.00485097737171883,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","all","3",0.2,846,1020,3410,12800,0.849,0.0095,NA,0.859,0.886,0.859,0.141,0.00492,NA,0.775,0.878,0.863,1,0.749,0.00681,NA,NA,0.989,0.617,0.26,0,0.0909,0.616,0.258,0,0.0874,0.877,0.968,0.874,0.961790945750069,0.0321812960097484,0.123044117998068,0.0382090542499313,0.00294839380105522,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","all","4",0.2,1350,1800,5020,19900,0.892,0.00648,NA,0.898,0.919,0.898,0.102,0.00167,NA,0.837,0.916,0.9,1,0.815,0.00561,NA,NA,0.996,0.699,0.217,0,0.0613,0.699,0.217,0,0.0601,0.916,0.977,0.915,0.975332701205848,0.0225815447890132,0.08387650106492,0.024667298794152,0.000862344104705871,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","all","5",0.2,3930,117000,12400,325000,0.927,0.00454,NA,0.932,0.951,0.932,0.0681,0.000571,NA,0.9,0.95,0.933,1,0.88,0.0035,NA,NA,0.998,0.79,0.167,0,0.0343,0.789,0.167,0,0.0338,0.957,0.991,0.956,0.989773254773391,0.00924242917792929,0.0434992043359865,0.0102267452266086,0.000588415938567395,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","all","total",1,1180,117000,4320,325000,0.835,0.0122,NA,0.847,0.875,0.847,0.153,0.00681,NA,0.765,0.867,0.854,1,0.737,0.00856,NA,NA,0.974,0.602,0.256,0,0.0974,0.602,0.253,0,0.0893,0.859,0.956,0.855,0.943951985015063,0.0440194163581719,0.141384177124455,0.0560480149849373,0.00676794744787213,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","female","1",0.109,199,360,1060,4160,0.772,0.0255,NA,0.797,0.83,0.797,0.203,0.011,NA,0.657,0.81,0.808,1,0.62,0.016,NA,NA,0.937,0.444,0.328,0,0.141,0.443,0.32,0,0.123,0.772,0.913,0.762,0.885105841609941,0.0868028808550839,0.227755848821667,0.114894158390059,0.0179599821426492,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","female","2",0.104,507,666,2390,7290,0.851,0.0129,NA,0.864,0.892,0.864,0.136,0.00539,NA,0.749,0.883,0.869,1,0.72,0.00917,NA,NA,0.983,0.57,0.283,0,0.101,0.569,0.28,0,0.095,0.853,0.954,0.848,0.943410036373893,0.0457921960865742,0.146942806115822,0.0565899636261071,0.00364634235273998,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","female","3",0.0947,845,1020,3450,12800,0.883,0.00923,NA,0.892,0.917,0.892,0.108,0.00349,NA,0.803,0.911,0.895,1,0.78,0.00611,NA,NA,0.991,0.658,0.24,0,0.0724,0.658,0.237,0,0.0697,0.898,0.97,0.895,0.964802067330896,0.0297030394912522,0.102139046772919,0.0351979326691036,0.00166179226733393,"NA_2019"
NA,NA,NA,NA,208494900,NA,2019,"BRA","country","female","4",0.088,1340,1800,4990,17200,0.913,0.00762,NA,0.92,0.94,0.92,0.0797,0.00108,NA,0.857,0.937,0.921,1,0.836,0.00694,NA,NA,0.997,0.723,0.204,0,0.0501,0.723,0.204,0,0.0492,0.927,0.977,0.926,0.975428447840577,0.0227210382805847,0.072826082820216,0.0245715521594225,0.000549353118451779,"NA_2019"
