"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"JAM","country","total","all",2725288,2015,1,NA,NA,NA,NA,0.491,0.169,0.0521,0.712,0.66,0.66,0.34,0.28,0.0203,0.267,1,0.94,1,0.193,0.0739,NA,0.421,0.846,0.183,0.576,0,0.231,0.165,0.499,0,0.18,0.759,0.99,0.664,0.844,0.00964,0.241,0.156,0.0139,"JAM_2015"
"JAM","country","total","female",2725288,2015,0.551265721286033,NA,NA,NA,NA,0.499,0.197,0.045,0.741,0.696,0.696,0.304,0.26,0.0191,0.29,1,0.956,1,0.2,0.0897,NA,0.417,0.826,0.178,0.594,0,0.221,0.16,0.499,0,0.164,0.772,0.993,0.659,0.823,0.00669,0.228,0.177,0.0147,"JAM_2015"
"JAM","country","total","male",2725288,2015,0.459843847580712,NA,NA,NA,NA,0.482,0.139,0.0599,0.681,0.621,0.621,0.379,0.301,0.0215,0.242,1,0.922,1,0.185,0.0568,NA,0.426,0.869,0.189,0.557,0,0.242,0.17,0.499,0,0.198,0.745,0.987,0.669,0.867,0.0128,0.255,0.133,0.0131,"JAM_2015"
"JAM","rural","total","all",2725288,2015,0.483572372327808,NA,NA,NA,NA,0.283,0.153,0.0886,0.525,0.436,0.436,0.564,0.453,0.0162,0.147,1,0.889,1,0.0977,0.0498,NA,0.243,0.892,0.0189,0.608,0,0.36,0.0172,0.575,0,0.295,0.627,0.986,0.592,0.887,0.0135,0.373,0.113,0.0151,"JAM_2015"
"JAM","rural","total","female",2725288,2015,0.238907646247918,NA,NA,NA,NA,0.284,0.185,0.0838,0.554,0.47,0.47,0.53,0.446,0.0159,0.171,1,0.915,1,0.105,0.0658,NA,0.231,0.884,0.0144,0.6,0,0.378,0.0122,0.563,0,0.302,0.614,0.992,0.575,0.877,0.00751,0.386,0.123,0.0177,"JAM_2015"
"JAM","rural","total","male",2725288,2015,0.253783994353163,NA,NA,NA,NA,0.281,0.125,0.0928,0.499,0.406,0.406,0.594,0.459,0.0165,0.127,1,0.865,1,0.0911,0.0355,NA,0.254,0.9,0.0229,0.615,0,0.343,0.0216,0.586,0,0.289,0.638,0.981,0.607,0.896,0.0189,0.362,0.104,0.0129,"JAM_2015"
"JAM","urban","total","all",2725288,2015,0.516427627672192,NA,NA,NA,NA,0.684,0.184,0.0185,0.886,0.867,0.867,0.133,0.12,0.024,0.378,1,0.987,1,0.281,0.0963,NA,0.586,0.804,0.335,0.547,0,0.112,0.301,0.429,0,0.0739,0.882,0.994,0.73,0.804,0.00603,0.118,0.196,0.0128,"JAM_2015"
"JAM","urban","total","female",2725288,2015,0.312358075038115,NA,NA,NA,NA,0.663,0.206,0.0154,0.884,0.869,0.869,0.131,0.118,0.0215,0.381,1,0.988,1,0.273,0.108,NA,0.559,0.781,0.303,0.59,0,0.101,0.273,0.45,0,0.0579,0.893,0.994,0.723,0.781,0.00606,0.107,0.219,0.0124,"JAM_2015"
"JAM","urban","total","male",2725288,2015,0.206059853227549,NA,NA,NA,NA,0.71,0.155,0.0226,0.888,0.865,0.865,0.135,0.122,0.0272,0.373,1,0.987,1,0.292,0.0809,NA,0.621,0.834,0.376,0.49,0,0.127,0.338,0.401,0,0.095,0.867,0.994,0.739,0.834,0.00599,0.133,0.166,0.0133,"JAM_2015"
