"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"CHL","country","4","male",18419192,2017,0.1328983414358,297945.58474497,387500,1347287.33298769,6101922,0.94,0.0144,0.00627,0.96,0.975,0.954,0.0395,0.0226,0,NA,NA,0.977,0.993,NA,NA,NA,0.951,NA,0.894,0.0777,0.0253,0.0253,NA,NA,NA,NA,0.997,0.997,NA,NA,0.00328,0.00328,NA,0.00268,"CHL_2017"
"CHL","country","5","male",18419192,2017,0.141179976385577,855720.094316388,48898332,3091554.91572462,87050000,0.962,0.0116,0.00164,0.975,0.983,0.973,0.0229,0.0105,0,NA,NA,0.984,0.996,NA,NA,NA,0.972,NA,0.935,0.0502,0.0124,0.0124,NA,NA,NA,NA,0.998,0.998,NA,NA,0.00241,0.00241,NA,0.0018,"CHL_2017"
"CHL","country","total","male",18419192,2017,0.625938832062958,302196.870180892,48898332,1253824.69380832,87050000,0.911,0.0161,0.0104,0.938,0.955,0.928,0.0594,0.0319,0,NA,NA,0.959,0.987,NA,NA,NA,0.923,NA,0.851,0.0986,0.045,0.045,NA,NA,NA,NA,0.994,0.994,NA,NA,0.0057,0.0057,NA,0.00494,"CHL_2017"
"CHL","rural","1","all",18419192,2017,0.0400178887279359,69996.8782726196,105919.333333333,334815.913399307,995311,0.449,0.0223,0.0985,0.57,0.652,0.471,0.416,0.227,0,NA,NA,0.698,0.887,NA,NA,NA,0.461,NA,0.143,0.495,0.334,0.334,NA,NA,NA,NA,0.972,0.972,NA,NA,0.0277,0.0277,NA,0.0241,"CHL_2017"
"CHL","rural","2","all",18419192,2017,0.0302907680670607,131614.470669814,160405,613833.515627056,1840635,0.521,0.022,0.0651,0.608,0.725,0.543,0.371,0.209,0,NA,NA,0.752,0.914,NA,NA,NA,0.531,NA,0.173,0.542,0.264,0.264,NA,NA,NA,NA,0.979,0.979,NA,NA,0.0213,0.0213,NA,0.0182,"CHL_2017"
"CHL","rural","3","all",18419192,2017,0.0225272762837551,192784.353446994,234526,823374.435043412,2030664,0.561,0.0133,0.0542,0.629,0.75,0.575,0.369,0.197,0,NA,NA,0.772,0.944,NA,NA,NA,0.566,NA,0.166,0.593,0.224,0.224,NA,NA,NA,NA,0.984,0.984,NA,NA,0.0163,0.0163,NA,0.0134,"CHL_2017"
"CHL","rural","4","all",18419192,2017,0.0164335920825456,293786.111048562,387500,1185082.11098872,3245946,0.567,0.0128,0.0537,0.634,0.774,0.58,0.361,0.209,0,NA,NA,0.789,0.941,NA,NA,NA,0.567,NA,0.168,0.633,0.18,0.18,NA,NA,NA,NA,0.981,0.981,NA,NA,0.0193,0.0193,NA,0.0128,"CHL_2017"
"CHL","rural","5","all",18419192,2017,0.0108910123478194,907284.253205438,21762500,3265749.21645332,87050000,0.599,0.00558,0.0316,0.636,0.75,0.604,0.337,0.157,0,NA,NA,0.761,0.941,NA,NA,NA,0.592,NA,0.276,0.587,0.119,0.119,NA,NA,NA,NA,0.982,0.982,NA,NA,0.0177,0.0177,NA,0.0143,"CHL_2017"
"CHL","rural","total","all",18419192,2017,0.125218321584449,196918.299407855,21762500,814719.710492769,87050000,0.518,0.0177,0.0695,0.605,0.715,0.536,0.381,0.208,0,NA,NA,0.744,0.917,NA,NA,NA,0.525,NA,0.17,0.553,0.255,0.255,NA,NA,NA,NA,0.978,0.978,NA,NA,0.0219,0.0219,NA,0.0181,"CHL_2017"
"CHL","rural","1","female",18419192,2017,0.0119024490722945,68262.2641122664,105919.333333333,328681.604726945,995311,0.462,0.0183,0.11,0.591,0.674,0.481,0.415,0.25,0,NA,NA,0.731,0.895,NA,NA,NA,0.472,NA,0.153,0.481,0.33,0.33,NA,NA,NA,NA,0.964,0.964,NA,NA,0.0357,0.0357,NA,0.0319,"CHL_2017"
"CHL","rural","2","female",18419192,2017,0.00812233623001,132698.451962012,160363.666666667,599203.981748025,1576325,0.545,0.0187,0.0732,0.637,0.741,0.564,0.363,0.208,0,NA,NA,0.772,0.927,NA,NA,NA,0.551,NA,0.188,0.521,0.276,0.276,NA,NA,NA,NA,0.985,0.985,NA,NA,0.0154,0.0154,NA,0.0133,"CHL_2017"
