"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","all","1",0.2,326,690,2300,7690,0.203,0.198,0.000186,0.401,0.401,0.401,0.519,0.0396,NA,NA,NA,0.441,0.92,NA,NA,NA,NA,NA,0.0846,0.0621,0.257,0.257,NA,NA,NA,NA,0.404,0.404,NA,NA,0.596087405985776,0.596087405985776,NA,0.119310661796637,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","all","2",0.2,954,1210,6960,16300,0.339,0.245,0.000675,0.584,0.584,0.584,0.38,0.049,NA,NA,NA,0.633,0.963,NA,NA,NA,NA,NA,0.132,0.062,0.301,0.301,NA,NA,NA,NA,0.495,0.495,NA,NA,0.504993284879603,0.504993284879603,NA,0.107095039044304,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","all","3",0.2,1550,1930,10600,34400,0.344,0.274,0.00116,0.619,0.618,0.618,0.362,0.0561,NA,NA,NA,0.674,0.98,NA,NA,NA,NA,NA,0.191,0.101,0.264,0.264,NA,NA,NA,NA,0.555,0.555,NA,NA,0.444909757572149,0.444909757572149,NA,0.0767775008043664,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","all","4",0.2,2380,2910,16100,51000,0.413,0.326,0.000882,0.74,0.739,0.739,0.227,0.0325,NA,NA,NA,0.772,0.967,NA,NA,NA,NA,NA,0.276,0.121,0.194,0.194,NA,NA,NA,NA,0.591,0.591,NA,NA,0.40874386965241,0.40874386965241,NA,0.0787575212203446,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","all","5",0.2,6660,400000,34800,1200000,0.604,0.241,0.000521,0.845,0.845,0.845,0.151,0.0267,NA,NA,NA,0.872,0.996,NA,NA,NA,NA,NA,0.452,0.186,0.132,0.132,NA,NA,NA,NA,0.77,0.77,NA,NA,0.229731166060676,0.229731166060676,NA,0.0188483161577297,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","all","total",1,2370,400000,14100,1200000,0.381,0.257,0.000685,0.638,0.637,0.637,0.328,0.0408,NA,NA,NA,0.678,0.965,NA,NA,NA,NA,NA,0.227,0.106,0.229,0.229,NA,NA,NA,NA,0.563,0.563,NA,NA,0.43690648469671,0.43690648469671,NA,0.0801611708000883,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","female","1",0.0541,285,689,1910,7310,0.343,0.311,0.000684,0.655,0.654,0.654,0.331,0.0167,NA,NA,NA,0.671,0.985,NA,NA,NA,NA,NA,0.188,0.114,0.204,0.204,NA,NA,NA,NA,0.506,0.506,NA,NA,0.494390224942232,0.494390224942232,NA,0.0978251903624865,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","female","2",0.0639,965,1200,7040,16300,0.413,0.282,0,0.695,0.695,0.695,0.296,0.0701,NA,NA,NA,0.765,0.991,NA,NA,NA,NA,NA,0.261,0.0714,0.227,0.227,NA,NA,NA,NA,0.559,0.559,NA,NA,0.440802893564407,0.440802893564407,NA,0.0351779920123431,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","female","3",0.0713,1550,1930,10500,31800,0.456,0.34,0,0.796,0.796,0.796,0.203,0.0611,NA,NA,NA,0.857,0.999,NA,NA,NA,NA,NA,0.267,0.128,0.22,0.22,NA,NA,NA,NA,0.616,0.616,NA,NA,0.384291695633018,0.384291695633018,NA,0.0640988209510537,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","female","4",0.0711,2400,2910,17100,51000,0.494,0.414,0.00248,0.91,0.908,0.908,0.0921,0.0166,NA,NA,NA,0.924,1,NA,NA,NA,NA,NA,0.363,0.135,0.129,0.129,NA,NA,NA,NA,0.626,0.626,NA,NA,0.374374957635462,0.374374957635462,NA,0.0696037333272224,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","female","5",0.0741,5570,148000,30700,296000,0.645,0.257,0.000928,0.903,0.902,0.902,0.0967,0.0161,NA,NA,NA,0.918,0.999,NA,NA,NA,NA,NA,0.505,0.144,0.12,0.12,NA,NA,NA,NA,0.769,0.769,NA,NA,0.231100815163366,0.231100815163366,NA,0.0175180788183707,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","female","total",0.334,2310,148000,14300,296000,0.479,0.322,0.000843,0.802,0.801,0.801,0.194,0.0362,NA,NA,NA,0.837,0.995,NA,NA,NA,NA,NA,0.326,0.12,0.177,0.177,NA,NA,NA,NA,0.623,0.623,NA,NA,0.377070364122979,0.377070364122979,NA,0.0549430146897798,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","male","1",0.146,342,690,2450,7690,0.151,0.156,0,0.307,0.307,0.307,0.59,0.0481,NA,NA,NA,0.355,0.896,NA,NA,NA,NA,NA,0.0462,0.0427,0.277,0.277,NA,NA,NA,NA,0.366,0.366,NA,NA,0.63406250472952,0.63406250472952,NA,0.12733362655235,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","male","2",0.136,949,1210,6930,15900,0.304,0.227,0.000991,0.532,0.531,0.531,0.419,0.0391,NA,NA,NA,0.57,0.95,NA,NA,NA,NA,NA,0.0722,0.0576,0.335,0.335,NA,NA,NA,NA,0.465,0.465,NA,NA,0.535139343285476,0.535139343285476,NA,0.140869805886863,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","male","3",0.129,1560,1930,10600,34400,0.282,0.237,0.00181,0.521,0.52,0.52,0.45,0.0533,NA,NA,NA,0.573,0.969,NA,NA,NA,NA,NA,0.148,0.0858,0.288,0.288,NA,NA,NA,NA,0.521,0.521,NA,NA,0.478508012068936,0.478508012068936,NA,0.08380480419824,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","male","4",0.129,2360,2910,15500,35300,0.369,0.278,0,0.647,0.647,0.647,0.302,0.0413,NA,NA,NA,0.688,0.948,NA,NA,NA,NA,NA,0.229,0.114,0.23,0.23,NA,NA,NA,NA,0.572,0.572,NA,NA,0.427669124047667,0.427669124047667,NA,0.0837980579842705,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","male","5",0.126,7300,400000,37200,1200000,0.579,0.232,0.000283,0.812,0.811,0.811,0.183,0.0329,NA,NA,NA,0.844,0.995,NA,NA,NA,NA,NA,0.421,0.211,0.139,0.139,NA,NA,NA,NA,0.771,0.771,NA,NA,0.22892944090612,0.22892944090612,NA,0.0196269716063399,"NA_2014"
NA,NA,NA,NA,6142734,NA,2014,"NIC","country","male","total",0.666,2410,400000,14100,1200000,0.331,0.224,0.000605,0.556,0.555,0.555,0.395,0.0431,NA,NA,NA,0.598,0.95,NA,NA,NA,NA,NA,0.178,0.0997,0.256,0.256,NA,NA,NA,NA,0.533,0.533,NA,NA,0.466978133905879,0.466978133905879,NA,0.0928349794791919,"NA_2014"
