"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"NIC","country","total","female",6142734,2014,0.334456621873881,2305.64261586015,147812.5,14321.4866226738,295625,0.479,0.322,0.000843,0.802,0.801,0.801,0.194,0.0362,NA,NA,NA,0.837,0.995,NA,NA,NA,NA,NA,0.326,0.12,0.177,0.177,NA,NA,NA,NA,0.623,0.623,NA,NA,0.377,0.377,NA,0.0549,"NIC_2014"
"NIC","country","1","male",6142734,2014,0.145881833707325,341.843368629636,689.814814249674,2449.05803788102,7690,0.151,0.156,0,0.307,0.307,0.307,0.59,0.0481,NA,NA,NA,0.355,0.896,NA,NA,NA,NA,NA,0.0462,0.0427,0.277,0.277,NA,NA,NA,NA,0.366,0.366,NA,NA,0.634,0.634,NA,0.127,"NIC_2014"
"NIC","country","2","male",6142734,2014,0.136062559176546,949.078540941643,1212.63887532552,6929.63648506188,15929.6666564941,0.304,0.227,0.000991,0.532,0.531,0.531,0.419,0.0391,NA,NA,NA,0.57,0.95,NA,NA,NA,NA,NA,0.0722,0.0576,0.335,0.335,NA,NA,NA,NA,0.465,0.465,NA,NA,0.535,0.535,NA,0.141,"NIC_2014"
"NIC","country","3","male",6142734,2014,0.128732421038689,1556.77991311965,1927.63891601562,10644.2983147963,34388.166015625,0.282,0.237,0.00181,0.521,0.52,0.52,0.45,0.0533,NA,NA,NA,0.573,0.969,NA,NA,NA,NA,NA,0.148,0.0858,0.288,0.288,NA,NA,NA,NA,0.521,0.521,NA,NA,0.479,0.479,NA,0.0838,"NIC_2014"
"NIC","country","4","male",6142734,2014,0.128869298503754,2359.73735372417,2908.51391601562,15488.3281229479,35268.166015625,0.369,0.278,0,0.647,0.647,0.647,0.302,0.0413,NA,NA,NA,0.688,0.948,NA,NA,NA,NA,NA,0.229,0.114,0.23,0.23,NA,NA,NA,NA,0.572,0.572,NA,NA,0.428,0.428,NA,0.0838,"NIC_2014"
"NIC","country","5","male",6142734,2014,0.125934201461225,7302.20017355937,4e+05,37230.3462877485,1200000,0.579,0.232,0.000283,0.812,0.811,0.811,0.183,0.0329,NA,NA,NA,0.844,0.995,NA,NA,NA,NA,NA,0.421,0.211,0.139,0.139,NA,NA,NA,NA,0.771,0.771,NA,NA,0.229,0.229,NA,0.0196,"NIC_2014"
"NIC","country","total","male",6142734,2014,0.665543378126119,2408.75538182343,4e+05,14053.9991829101,1200000,0.331,0.224,0.000605,0.556,0.555,0.555,0.395,0.0431,NA,NA,NA,0.598,0.95,NA,NA,NA,NA,NA,0.178,0.0997,0.256,0.256,NA,NA,NA,NA,0.533,0.533,NA,NA,0.467,0.467,NA,0.0928,"NIC_2014"
"NIC","rural","1","all",6142734,2014,0.145465648057833,333.608312060674,689.814814249674,2379.0139392143,7270.83325195312,0.0916,0.153,0.000256,0.245,0.245,0.245,0.652,0.0359,NA,NA,NA,0.281,0.897,NA,NA,NA,NA,NA,0.00515,0.0249,0.274,0.274,NA,NA,NA,NA,0.304,0.304,NA,NA,0.696,0.696,NA,0.15,"NIC_2014"
"NIC","rural","2","all",6142734,2014,0.108711907626631,944.99973715622,1212.63887532552,7141.42543625132,15929.6666564941,0.196,0.166,0.00124,0.363,0.361,0.361,0.579,0.0496,NA,NA,NA,0.411,0.94,NA,NA,NA,NA,NA,0,0.012,0.369,0.369,NA,NA,NA,NA,0.381,0.381,NA,NA,0.619,0.619,NA,0.167,"NIC_2014"
"NIC","rural","3","all",6142734,2014,0.0817953006629654,1533.41862110454,1927.05554199219,10613.6104527619,34388.166015625,0.0773,0.168,0.00283,0.249,0.246,0.246,0.708,0.0791,NA,NA,NA,0.325,0.954,NA,NA,NA,NA,NA,0.00344,0.0469,0.36,0.36,NA,NA,NA,NA,0.41,0.41,NA,NA,0.59,0.59,NA,0.137,"NIC_2014"
