"iso","scope","quintile","gender","population","population_perc","year_survey","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"JAM","country","total","all",2730982,1,2018,NA,NA,NA,NA,0.512,0.133,0.0371,0.682,0.645,0.645,0.321,0.296,0.0744,0.244,0.915,0.941,0.966,0.197,0.0474,NA,0.393,0.884,0.181,0.596,0.0448,0.209,0.161,0.561,0.0397,0.162,0.821,0.985,0.761,0.883,0.0147,0.179,0.117,0.0115,"JAM_2018"
"JAM","country","total","female",2730982,0.524288965559738,2018,NA,NA,NA,NA,0.524,0.154,0.0313,0.709,0.678,0.678,0.291,0.262,0.0744,0.266,0.909,0.939,0.969,0.208,0.0579,NA,0.379,0.866,0.168,0.611,0.0383,0.204,0.146,0.572,0.033,0.147,0.817,0.983,0.75,0.865,0.0173,0.183,0.135,0.014,"JAM_2018"
"JAM","country","total","male",2730982,0.475711034440262,2018,NA,NA,NA,NA,0.501,0.113,0.0426,0.656,0.614,0.614,0.35,0.329,0.0744,0.224,0.921,0.942,0.964,0.187,0.0373,NA,0.407,0.902,0.193,0.58,0.051,0.214,0.175,0.55,0.046,0.175,0.824,0.988,0.772,0.901,0.0122,0.176,0.0993,0.0091,"JAM_2018"
"JAM","rural","total","all",2730982,0.473561624132204,2018,NA,NA,NA,NA,0.327,0.118,0.0586,0.504,0.445,0.445,0.488,0.46,0.0621,0.12,0.89,0.906,0.933,0.0851,0.0352,NA,0.263,0.909,0.0588,0.667,0.0391,0.258,0.0574,0.64,0.0393,0.21,0.765,0.984,0.737,0.907,0.0163,0.235,0.0931,0.0128,"JAM_2018"
"JAM","rural","total","female",2730982,0.222260808329043,2018,NA,NA,NA,NA,0.34,0.134,0.0553,0.53,0.475,0.475,0.456,0.43,0.0646,0.137,0.875,0.905,0.931,0.0974,0.0387,NA,0.274,0.888,0.0572,0.667,0.0367,0.256,0.0548,0.636,0.0369,0.195,0.761,0.98,0.728,0.886,0.0202,0.239,0.114,0.0156,"JAM_2018"
"JAM","rural","total","male",2730982,0.25130081580316,2018,NA,NA,NA,NA,0.316,0.105,0.0614,0.482,0.421,0.421,0.514,0.485,0.06,0.106,0.905,0.906,0.935,0.0749,0.0324,NA,0.255,0.926,0.0601,0.667,0.041,0.26,0.0595,0.643,0.0412,0.221,0.768,0.987,0.744,0.924,0.013,0.232,0.0761,0.0104,"JAM_2018"
"JAM","urban","total","all",2730982,0.526438375867796,2018,NA,NA,NA,NA,0.674,0.146,0.0182,0.839,0.821,0.821,0.175,0.151,0.0853,0.354,0.927,0.972,0.996,0.296,0.058,NA,0.508,0.863,0.288,0.533,0.0498,0.166,0.251,0.492,0.0401,0.12,0.871,0.987,0.783,0.863,0.0133,0.129,0.137,0.0104,"JAM_2018"
"JAM","urban","total","female",2730982,0.302028157230695,2018,NA,NA,NA,NA,0.664,0.169,0.0129,0.846,0.834,0.834,0.165,0.132,0.082,0.365,0.924,0.966,0.999,0.293,0.0727,NA,0.46,0.849,0.253,0.569,0.0394,0.163,0.215,0.523,0.03,0.111,0.861,0.985,0.768,0.849,0.015,0.139,0.151,0.0128,"JAM_2018"
"JAM","urban","total","male",2730982,0.224410218637101,2018,NA,NA,NA,NA,0.685,0.122,0.0239,0.831,0.807,0.807,0.186,0.172,0.0889,0.342,0.93,0.979,0.992,0.299,0.0422,NA,0.561,0.878,0.325,0.495,0.061,0.169,0.29,0.458,0.0509,0.129,0.881,0.989,0.8,0.878,0.0114,0.119,0.122,0.0078,"JAM_2018"
